URL_ID,avg_sentence_length,percent_complex_words,fog_index
Netclan20241024,16.0,27.916666666666668,17.56666666666667
Netclan20241030,27.444444444444443,50.607287449392715,31.220692757534863
Netclan20241018,27.153846153846153,31.728045325779036,23.552756591850077
Netclan20241150,80.5,39.130434782608695,47.85217391304348
Netclan20241144,32.0,36.875,27.55
Netclan20241145,16.714285714285715,38.88888888888889,22.241269841269844
Netclan20241151,35.0,43.57142857142857,31.42857142857143
Netclan20241019,16.0,27.916666666666668,17.56666666666667
Netclan20241031,37.63157894736842,47.69230769230769,34.12955465587045
Netclan20241025,49.142857142857146,53.19767441860465,40.936212624584726
Netclan20241033,19.21276595744681,50.055370985603545,27.707254777220143
Netclan20241027,46.833333333333336,51.95729537366548,39.51625148279953
Netclan20241147,21.555555555555557,41.75257731958763,25.323253150057276
Netclan20241153,18.5,39.86486486486486,23.345945945945946
Netclan20241152,47.666666666666664,42.65734265734265,36.12960372960373
Netclan20241146,50.0,35.6,34.24
Netclan20241026,19.423076923076923,49.801980198019805,27.69002284843869
Netclan20241032,12.047619047619047,40.316205533596836,20.945529832486354
Netclan20241036,20.9375,45.67164179104478,26.64365671641791
Netclan20241022,30.5,45.08196721311475,30.2327868852459
Netclan20241142,26.5,42.45283018867924,27.5811320754717
Netclan20241156,18.142857142857142,33.07086614173229,20.485489313835775
Netclan20241157,28.105263157894736,26.591760299625467,21.878809383008083
Netclan20241143,23.46153846153846,38.36065573770492,24.72887767969735
Netclan20241023,27.153846153846153,31.728045325779036,23.552756591850077
Netclan20241037,48.0,31.944444444444443,31.977777777777778
Netclan20241021,12.242424242424242,31.683168316831683,17.570237023702372
Netclan20241035,13.128205128205128,42.578125,22.28253205128205
Netclan20241155,51.0,37.254901960784316,35.30196078431373
Netclan20241141,31.181818181818183,34.98542274052478,26.46689636893719
Netclan20241140,42.0,54.761904761904766,38.70476190476191
Netclan20241154,77.5,36.12903225806451,45.45161290322581
Netclan20241034,18.571428571428573,42.30769230769231,24.35164835164835
Netclan20241020,49.142857142857146,53.19767441860465,40.936212624584726
Netclan20241084,19.416666666666668,27.896995708154503,18.925464949928468
Netclan20241090,39.25,27.388535031847134,26.65541401273886
Netclan20241047,22.25,41.57303370786517,25.52921348314607
Netclan20241053,12.375,52.121212121212125,25.79848484848485
Netclan20241133,21.41176470588235,33.65384615384615,22.026244343891406
Netclan20241127,48.166666666666664,31.833910034602077,32.0002306805075
Netclan20241126,64.4,29.503105590062113,37.56124223602485
Netclan20241132,23.470588235294116,29.32330827067669,21.117558602388325
Netclan20241052,11.816326530612244,38.34196891191709,20.063318177011737
Netclan20241046,16.703703703703702,33.03769401330377,19.89655908680299
Netclan20241091,21.7,35.483870967741936,22.873548387096776
Netclan20241085,18.153846153846153,36.86440677966102,22.00730117340287
Netclan20241093,33.666666666666664,32.17821782178218,26.337953795379537
Netclan20241087,20.72,41.312741312741316,24.813096525096526
Netclan20241050,22.0,36.688311688311686,23.475324675324675
Netclan20241044,19.782608695652176,36.48351648351648,22.506450071667462
Netclan20241078,21.5,41.86046511627907,25.34418604651163
Netclan20241124,43.25,49.71098265895954,37.18439306358382
Netclan20241130,66.0,43.93939393939394,43.97575757575758
Netclan20241118,87.0,44.252873563218394,52.501149425287366
Netclan20241119,39.57142857142857,40.07220216606498,31.857452294997422
Netclan20241131,41.8,50.23923444976076,36.8156937799043
Netclan20241125,16.09090909090909,31.07344632768362,18.865742167437084
Netclan20241079,54.0,50.0,41.6
Netclan20241045,16.384615384615383,38.732394366197184,22.04680390032503
Netclan20241051,16.875,38.3068783068783,22.072751322751323
Netclan20241086,43.8,36.5296803652968,32.13187214611872
Netclan20241092,23.272727272727273,33.984375,22.902840909090912
Netclan20241096,59.8,37.45819397993311,38.90327759197325
Netclan20241082,27.714285714285715,39.175257731958766,26.755817378497795
Netclan20241069,10.708333333333334,27.626459143968873,15.333916990920883
Netclan20241055,14.222222222222221,34.375,19.43888888888889
Netclan20241041,51.0,41.830065359477125,37.132026143790846
Netclan20241109,19.75862068965517,36.82373472949389,22.63294216765963
Netclan20241121,13.944444444444445,33.266932270916335,18.884550686144312
Netclan20241135,48.0,47.91666666666667,38.36666666666667
Netclan20241134,24.647058823529413,36.754176610978526,24.56049417380318
Netclan20241120,30.6,35.294117647058826,26.357647058823535
Netclan20241108,21.037037037037038,41.37323943661972,24.964110589462706
Netclan20241040,49.333333333333336,39.86486486486486,35.67927927927928
Netclan20241054,16.923076923076923,43.18181818181818,24.041958041958043
Netclan20241068,16.533333333333335,27.016129032258064,17.419784946236557
Netclan20241083,22.25,39.70037453183521,24.780149812734084
Netclan20241097,14.6875,37.02127659574468,20.683510638297875
Netclan20241081,16.5,31.515151515151512,19.206060606060607
Netclan20241095,19.90909090909091,30.59360730593607,20.201079286010795
Netclan20241042,55.333333333333336,42.168674698795186,39.00080321285141
Netclan20241056,13.227272727272727,27.491408934707906,16.287472664792254
Netclan20241136,103.0,53.398058252427184,62.55922330097087
Netclan20241122,14.478260869565217,24.624624624624623,15.641154197675938
Netclan20241123,24.333333333333332,36.07305936073059,24.16255707762557
Netclan20241137,48.5,50.51546391752577,39.606185567010314
Netclan20241057,28.454545454545453,40.894568690095845,27.739645657856524
Netclan20241043,15.222222222222221,36.496350364963504,20.68742903487429
Netclan20241094,31.333333333333332,48.93617021276596,32.10780141843971
Netclan20241080,13.428571428571429,50.0,25.371428571428574
Netclan20241099,42.0,39.285714285714285,32.51428571428571
Netclan20241066,32.2,38.50931677018634,28.28372670807454
Netclan20241072,21.2,42.45283018867924,25.4611320754717
Netclan20241112,37.5,39.33333333333333,30.733333333333334
Netclan20241106,62.666666666666664,34.04255319148936,38.68368794326241
Netclan20241107,102.0,34.31372549019608,54.52549019607844
Netclan20241113,42.2,33.175355450236964,30.15014218009479
Netclan20241073,13.375,28.971962616822427,16.93878504672897
Netclan20241067,13.541666666666666,28.000000000000004,16.61666666666667
Netclan20241098,46.666666666666664,40.0,34.666666666666664
Netclan20241071,20.4,31.862745098039213,20.905098039215687
Netclan20241065,32.6,36.19631901840491,27.518527607361968
Netclan20241059,14.416666666666666,30.63583815028902,18.021001926782272
Netclan20241105,14.823529411764707,37.301587301587304,20.850046685340807
Netclan20241111,21.8,35.321100917431195,22.84844036697248
Netclan20241139,81.0,48.148148148148145,51.659259259259265
Netclan20241138,39.666666666666664,41.17647058823529,32.33725490196078
Netclan20241110,56.333333333333336,46.74556213017752,41.231558185404346
Netclan20241104,15.2,40.78947368421053,22.39578947368421
Netclan20241058,11.071428571428571,24.516129032258064,14.235023041474655
Netclan20241064,88.75,36.056338028169016,49.922535211267615
Netclan20241070,10.277777777777779,42.16216216216216,20.975975975975977
Netclan20241048,23.818181818181817,42.17557251908397,26.397501734906314
Netclan20241074,12.384615384615385,34.161490683229815,18.61844242713808
Netclan20241060,8.777777777777779,24.68354430379747,13.3845288326301
Netclan20241128,17.076923076923077,34.68468468468468,20.704643104643107
Netclan20241100,66.0,33.83838383838384,39.935353535353535
Netclan20241114,21.142857142857142,48.64864864864865,27.916602316602322
Netclan20241115,49.166666666666664,44.06779661016949,37.293785310734464
Netclan20241101,161.0,31.67701863354037,77.07080745341615
Netclan20241129,76.5,32.02614379084967,43.410457516339875
Netclan20241061,8.761904761904763,26.6304347826087,14.156935817805385
Netclan20241075,43.0,51.162790697674424,37.66511627906977
Netclan20241049,18.02857142857143,36.925515055467514,21.981634593615578
Netclan20241088,19.153846153846153,33.33333333333333,20.994871794871795
Netclan20241063,30.0,27.500000000000004,23.0
Netclan20241077,25.333333333333332,44.73684210526316,28.0280701754386
Netclan20241117,28.571428571428573,33.5,24.82857142857143
Netclan20241103,14.714285714285714,37.86407766990291,21.03134535367545
Netclan20241102,74.5,32.88590604026846,42.95436241610739
Netclan20241116,31.0,38.064516129032256,27.625806451612902
Netclan20241076,22.0,50.0,28.8
Netclan20241062,11.428571428571429,35.35714285714286,18.71428571428572
Netclan20241089,14.6,40.63926940639269,22.09570776255708
Netclan20241039,51.333333333333336,34.41558441558442,34.299567099567106
Netclan20241159,44.833333333333336,36.059479553903344,32.357125154894675
Netclan20241158,29.083333333333332,44.69914040114613,29.51298949379179
Netclan20241038,53.0,44.0251572327044,38.81006289308176
Netclan20241017,30.5,45.08196721311475,30.2327868852459
Netclan20241163,22.5,43.333333333333336,26.33333333333334
Netclan20241162,104.0,25.0,51.6
Netclan20241028,61.666666666666664,54.054054054054056,46.28828828828829
Netclan20241148,30.0,36.19047619047619,26.476190476190478
Netclan20241160,23.25,30.510752688172044,21.50430107526882
Netclan20241161,25.75,34.46601941747573,24.08640776699029
Netclan20241149,52.333333333333336,42.038216560509554,37.74861995753715
Netclan20241029,33.0,48.484848484848484,32.593939393939394
